Regions,Cells,Neurons,Glia,Excitatory,Inhibitory,Modulatory,Astrocytes,Oligodendrocytes,Microglia
Agranular insular area posterior part layer 1,21632,13351,8281,0,13340,11,820,3630,3831
Agranular insular area posterior part layer 2/3,57435,38860,18575,37705,1050,105,1130,10140,7305
Agranular insular area posterior part layer 5,44889,27390,17499,26209,967,214,1003,9402,7094
Agranular insular area posterior part layer 6a,36700,21913,14787,20514,1240,159,576,8509,5702
Agranular insular area ventral part,138536,79237,59299,70106,8612,519,17613,31502,10184
Agranular insular area ventral part layer 1,11976,7155,4821,0,7139,16,2367,1408,1046
Agranular insular area ventral part layer 2/3,56118,33762,22356,33064,514,184,8374,8902,5080
Agranular insular area ventral part layer 5,51814,28771,23043,27774,743,254,5665,14722,2656
Agranular insular area ventral part layer 6a,18538,9509,9029,9258,186,65,1206,6428,1395
Agranular insular area ventral part layer 6b,90,40,50,10,30,0,1,42,7
Retrosplenial area,1506170,785447,720723,640500,139210,5737,86673,250919,383131
Retrosplenial area lateral agranular part,171152,87856,83296,75931,11405,520,12047,36336,34913
Retrosplenial area lateral agranular part layer 1,19123,10302,8821,0,10278,24,1364,2076,5381
Retrosplenial area lateral agranular part layer 2/3,57671,32785,24886,32084,587,114,4147,7538,13201
Retrosplenial area lateral agranular part layer 5,50352,24738,25614,24175,343,220,3731,11592,10291
Retrosplenial area lateral agranular part layer 6a,38324,17608,20716,17278,187,143,2517,12824,5375
Retrosplenial area lateral agranular part layer 6b,5682,2423,3259,2394,10,19,288,2306,665
Retrosplenial area dorsal part,507842,254077,253765,213453,39164,1460,26316,81367,146082
Retrosplenial area dorsal part layer 1,64281,33671,30610,0,33545,126,4031,5553,21026
Retrosplenial area dorsal part layer 2/3,165407,91301,74106,87983,2919,399,8500,15725,49881
Retrosplenial area dorsal part layer 5,170427,81175,89252,78790,1832,553,8528,29820,50904
Retrosplenial area dorsal part layer 6a,98983,44663,54320,43487,823,353,4931,26938,22451
Retrosplenial area dorsal part layer 6b,8744,3267,5477,3193,45,29,326,3331,1820
Retrosplenial area ventral part,827176,443514,383662,351116,88641,3757,48310,133216,202136
Retrosplenial area ventral part layer 1,140574,80108,60466,0,79514,594,11761,15870,32835
Retrosplenial area ventral part layer 2,108990,72509,36481,69027,3055,427,6055,10184,20242
Retrosplenial area ventral part layer 2/3,179528,102394,77134,98671,3011,712,11166,23354,42614
Retrosplenial area ventral part layer 5,260631,123137,137494,119877,1946,1314,13548,50023,73923
Retrosplenial area ventral part layer 6a,129849,62309,67540,60554,1071,684,5512,31176,30852
Retrosplenial area ventral part layer 6b,7604,3057,4547,2987,44,26,268,2609,1670
Posterior parietal association areas,640848,319931,320917,286609,31240,2082,37999,153895,129023
Posterior parietal association areas layer 1,50224,26467,23757,0,26399,68,3607,4897,15253
Posterior parietal association areas layer 2/3,171495,94858,76637,93121,1343,394,11098,23699,41840
Posterior parietal association areas layer 4,65803,34445,31358,33812,404,229,4291,12936,14131
Posterior parietal association areas layer 5,197803,97376,100427,94787,1695,894,12223,50639,37565
Posterior parietal association areas layer 6a,122113,55146,66967,53651,1070,425,5603,44697,16667
Posterior parietal association areas layer 6b,33410,11639,21771,11238,329,72,1177,17027,3567
Temporal association areas,657538,397616,259922,356556,39490,1570,14352,112011,133559
Temporal association areas layer 1,52334,32043,20291,0,32009,34,804,3466,16021
Temporal association areas layer 2/3,172652,114268,58384,111582,2525,161,3567,10649,44168
Temporal association areas layer 4,60312,37042,23270,36511,419,112,1610,7568,14092
